Angle (deg),Shunt Voltage (mV),Bus Voltage (V),Load Voltage (V),Current (mA),Power (mW)
90,0.040000,0.000000,0.000040,0.400000,0.000000
90,0.040000,0.000000,0.000040,0.600000,0.000000
90,0.050000,0.000000,0.000050,0.400000,0.000000
90,0.040000,0.000000,0.000040,0.300000,0.000000
90,0.070000,0.000000,0.000070,0.300000,0.000000
90,0.040000,0.000000,0.000040,0.200000,0.000000
0,0.040000,0.000000,0.000040,0.800000,0.000000
0,0.060000,0.000000,0.000060,0.500000,0.000000
0,0.060000,0.000000,0.000060,0.500000,0.000000
0,0.050000,0.000000,0.000050,0.500000,0.000000
0,0.030000,0.000000,0.000030,0.400000,0.000000
0,0.050000,0.000000,0.000050,0.300000,0.000000
