Voltage,Current,Power
1.096070,100.800003,110.483863
0.722840,41.000000,29.636440
1.088020,93.300003,101.512275
0.732760,50.900001,37.297485
0.870010,93.099998,80.997932
0.980800,69.099998,67.773277
0.865950,79.500000,68.843025
1.185970,69.400001,82.306312
0.604310,59.200000,35.775154
1.189980,88.599998,105.432228
0.492210,58.799999,28.941949
1.261930,88.800003,112.059394
0.492220,42.799999,21.067016
1.189060,99.500000,118.311477
0.569420,42.799999,24.371177
1.189040,98.900001,117.596061
0.569420,42.000000,23.915641
1.043570,98.699996,103.000358
0.775280,54.099998,41.942646
1.043590,90.400001,94.340545
0.801930,69.199996,55.493556
0.698360,36.700000,25.629814
0.676770,70.099998,47.441577
0.641980,45.500000,29.210092
0.531680,64.099998,34.080684
0.782880,42.500000,33.272399
0.571940,54.400001,31.113536
0.879350,53.599998,47.133163
0.427120,56.900001,24.303131
0.855260,64.199996,54.907695
0.355040,44.799999,15.905793
0.907320,61.400001,55.709449
0.366990,34.500000,12.661156
0.890950,70.000000,62.366504
0.367410,36.299999,13.336984
0.899040,73.500000,66.079444
0.448340,30.200000,13.539870
0.846440,73.400001,62.128700
0.428120,31.600000,13.528594
0.753520,72.199996,54.404144
0.617790,43.599998,26.935644
0.761510,67.400001,51.325775
0.799070,43.000000,34.360012
0.580010,54.900001,31.842552
0.472290,34.500000,16.294006
0.270070,37.200000,10.046606
0.544710,41.900001,22.823350
0.290020,29.299999,8.497587
0.580750,40.599998,23.578451
0.229990,22.200000,5.105779
0.568480,45.900001,26.093233
0.238300,23.399999,5.576220
0.576550,47.799999,27.559089
0.298930,19.799999,5.918814
0.536130,47.799999,25.627014
0.286800,21.299999,6.108839
0.471490,46.599998,21.971433
0.367550,20.700000,7.608285
0.487640,43.200000,21.066049
0.464250,25.500000,11.838376
0.000030,0.300000,0.000009
0.000030,0.300000,0.000009
0.000030,0.400000,0.000012
0.000030,0.300000,0.000009
0.000030,0.300000,0.000009
0.000030,0.300000,0.000009
0.000030,0.300000,0.000009
0.000030,0.400000,0.000012
0.000030,0.300000,0.000009
0.000030,0.300000,0.000009
0.000040,0.400000,0.000016
0.000030,0.300000,0.000009
0.000030,0.300000,0.000009
0.000030,0.300000,0.000009
0.000030,0.300000,0.000009
0.000030,0.300000,0.000009
0.000030,0.300000,0.000009
0.000030,0.300000,0.000009
0.000030,0.300000,0.000009
0.000030,0.300000,0.000009
0.000060,0.600000,0.000036
0.000050,0.700000,0.000035
0.000060,0.600000,0.000036
0.000060,0.700000,0.000042
0.000060,0.600000,0.000036
0.000060,0.600000,0.000036
0.000070,0.700000,0.000049
0.000060,0.600000,0.000036
0.000060,0.600000,0.000036
0.000060,0.600000,0.000036
0.000060,0.600000,0.000036
0.000060,0.600000,0.000036
0.000070,0.600000,0.000042
0.000070,0.700000,0.000049
0.000070,0.700000,0.000049
0.000070,0.600000,0.000042
0.000060,0.600000,0.000036
0.000060,0.700000,0.000042
0.000060,0.600000,0.000036
0.000060,0.600000,0.000036
0.000030,0.300000,0.000009
0.000030,0.300000,0.000009
0.000020,0.300000,0.000006
0.000020,0.200000,0.000004
0.000030,0.300000,0.000009
0.000030,0.300000,0.000009
0.000030,0.300000,0.000009
0.000030,0.300000,0.000009
0.000020,0.300000,0.000006
0.000030,0.300000,0.000009
0.000030,0.400000,0.000012
0.000030,0.300000,0.000009
0.000030,0.300000,0.000009
0.000030,0.300000,0.000009
0.000030,0.300000,0.000009
0.000020,0.200000,0.000004
0.000030,0.300000,0.000009
0.000030,0.300000,0.000009
0.000020,0.300000,0.000006
0.000030,0.300000,0.000009
